Items;Original;Traduction française québécoise;Auteur2;Auteur1
12.;Take charge.;J'aime prendre en charge.;X;X
28.;Tend to vote for liberal political candidates.;J’ai tendance à promouvoir des valeurs sociales traditionnelles.;X;X
36.;Get irritated easily.;Je suis irritable facilement.;OK;X
37.;Talk to a lot of different people at parties.;Je parle à plusieurs personnes dans les partys.;X;X
42.;Try to lead others.;J'essaie de diriger les autres.;OK;X
50.;Work hard.;Je travaille fort.;X;X
57.;Have a lot of fun.;J'ai beaucoup de plaisir.;X;OK
66.;Get upset easily.;Je deviens choqué facilement.;X;X
109.;Have a sharp tongue.;J'ai tendance à être sévère et critique.;X;OK
134.;Have a good word for everyone.;J'ai de bons commentaires sur tout le monde.;X;X
148.;Tend to vote for conservative political candidates.;J’ai tendance à promouvoir des valeurs sociales libérales.;X;X
163.;Seldom get emotional.;Je suis rarement émotif.;X;X
166.;Stumble over my words;Je trébuche dans mes mots.;X;OK
170.;Set high standards for myself and others.;Je me fixe des standards élevés pour moi-même et les autres.;OK;X
174.;Think highly of myself.;J'ai une très grande estime de moi-même.;X;X
184.;Distrust people;Je ne fais pas confiance aux autres.;X;X
187.;Want to be left alone;J'ai le goût qu'on me laisse seul.;X;X
191.;Feel that my life lacks direction;Je sens que ma vie manque de sens.;OK;X
199.;Yell at people.;Je crie après les gens.;OK;X
223.;Rarely notice my emotional reactions;Je suis rarement sensible à mes réactions émotives.;X;OK
224.;Make people feel uncomfortable.;Je rends les gens inconfortables.;X;X
262.;Would never go hang gliding or bungee jumping.;Je ne ferai jamais du deltaplane ou un saut en bungee.;OK;X
267.;Am not easily amused.;Je ne m'amuse pas facilement.;OK;X
270.;Act without thinking.;J'agis sans penser.;X;X
294.;Make myself the center of attention.;Je suis le centre de l'attention.;OK;X
299.;Can't stand weak people.;Je n'aime pas côtoyer les gens faibles.;X;X
